"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23070","24800","25400","26090","27270","27390","27210","28780","29410","28980","31620","30140","27760","29550","31950","27060","33630","31230","35670","32360","30710","31000","32030","34260","35090","35190","35660","36300","","",
"Afghanistan","AFG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1520","1710","1700","1920","2020","2070","2110","2150","2230","2260","2330",
"Angola","AGO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2980","3300","1620","1490","1260","2340","2410","2820","2810","2630","2780","2890","3370","3450","3760","4290","4710","5320","5560","5820","5950","6130","6810","7130","7680","6960","6730","6860","6550","6390",
"Albania","ALB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2550","1880","1740","2110","2300","2710","3050","2780","3110","3550","3980","4460","4800","5150","5560","5990","6750","7480","8260","8680","9540","10210","10450","10750","11360","11800","12200","13070","13820","14350",
"Andorra","AND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6996.26979795183","7577.5007935237","7989.04222375611","8224.91100506183","8328.33989225348","8476.35371923884","8738.0119053505","9028.31836267248","9554.24388108108","9618.45447862811","10066.4894479215","10270.4297277539","10154.4556498689","10600.3823013479","11640.6723588821","12300.5604804912","13229.1477996417","13995.9201644533","14718.6049283565","14527.4582760774","14918.2420170079","15391.9782268905","16439.6927916782","16422.0702404999","16169.924991957","14637.888686589","14080.1300317167","14577.6819998047","14885.7881202971","15144.0393235117",
"United Arab Emirates","ARE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103160","101460","96350","99190","102360","99230","97720","89930","80690","68870","64860","67710","69160","70460","73740","65220","64340","67670","68780","70240",
"Argentina","ARG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6880","7760","8560","9410","10030","9790","10370","11260","11650","11280","11310","10900","9540","10580","10860","12030","14460","16130","16970","15830","17440","18770","19150","19650","19250","19700","19860","22960","22450","22060",
"Armenia","ARM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2670","2550","1290","1480","1620","1870","2050","2240","2390","2510","2740","3090","3580","4180","4810","5680","6720","7960","8790","7530","7880","8310","9740","10440","10490","10370","10950","12540","13180","14460",
"American Samoa","ASM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10480","11300","11580","12440","13240","12630","13490","14290","14880","15320","16010","15680","15540","16670","17800","19420","22230","24560","24510","21440","20110","19720","18950","18180","18070","17880","18410","18920","20510","21500",
"Australia","AUS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16720","17060","17470","18600","19600","20160","21180","22150","23410","24470","25560","26590","27940","28890","30410","31360","32950","34920","35930","38890","37770","40280","41520","44760","45650","45330","46230","47580","49440","51560",
