"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.07222","29.65051","29.05586","26.68902","26.752","26.30441","31.68347","30.90319","33.91582","35.24049","35.36232","37.34573","38.72564","37.76113","16.19583","16.40542","15.27177","15.59921","","","",
"Afghanistan","AFG","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","0.76877","0.92388","0.95113","1.09459","1.0226","1.11732","1.26757","1.40822","1.80833","1.94564","","","1.72288","","","","2.1554","1.70774","","","2.21141","","","","","","","","","","","","","1.20234","1.19937","","","","","3.77498","","3.62226","","","8.23068","","","","9.68642","",
"Angola","AGO","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.58355","0.54828","0.55307","0.54504","0.50501","","","","","","0.54972","0.49829","","","0.71336","2.635","1.97574","2.43892","2.37982","","","","","6.1303","","8.83833","","8.40094","9.33626","","","",
"Albania","ALB","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","13.90814","14.92791","","","","","","5.83142","","","5.1894","","5.92612","6.55999","7.02591","7.22121","7.32687","7.73796","8.14828","8.36636","8.85533","9.28732","11.17761","10.63358","10.20282","10.93945","12.69972","13.55017","14.74777","15.53661","15.90463","16.31143","16.65724","19.89044","23.18983","26.63714","30.68713","32.0928","33.38555","44.54925","49.8787","59.25201","64.63443","65.78297","62.00762","58.38185","57.37526","54.96133","",
"Andorra","AND","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","5.96426","5.98207","6.23436","6.59681","7.00106","7.55049","8.21546","8.86437","9.30852","9.35179","9.69576","10.27521","10.64377","10.81294","11.0858","11.07237","11.36942","11.39638","11.38137","11.03497","11.06054","10.77585","11.42809","12.34728","12.99277","13.85892","14.78401","15.75999","16.53046","17.93546","18.18479","18.7885","19.60008","19.60643","20.77493","21.8364","22.34389","22.94668","23.70183","24.39759","25.06339","24.50504","25.87412","27.43039","28.61852","30.13177","30.89846","31.77963","32.21509","",
"United Arab Emirates","ARE","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","13.24435","15.30603","16.48376","19.61808","22.74869","26.97598","27.07182","24.07762","21.38019","22.22991","21.73469","23.10263","23.83","24.83893","28.67647","35.49595","37.42499","39.22065","","","","38.11911","","","37.00133","","","","46.9607","48.83172","53.96481","59.01155","62.74873","65.17626","65.48537","63.96667","66.96473","66.41163","68.05695","70.20646","73.2314","76.2974","77.44629","78.2239","80.99581","84.002","87.21345","89.95852","","",
"Armenia","ARM","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","17.5996","","18.79871","20.4359","23.20482","25.3567","25.34212","23.02764","19.12431","19.08214","16.93857","22.72023","33.57358","35.21241","35.54979","33.5453","36.14686","37.21888","37.88314","39.54677","43.11535","45.93094","48.48933","51.33459","52.98915","53.33778","46.15803","45.73739","47.08219","46.5218","51.08019","52.25153","54.57048","",
"American Samoa","ASM","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","19.48135","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.05298","16.72623","15.05922","24.83026","","","","","","","",
"Australia","AUS","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","15.81655","17.09435","18.38301","19.59013","21.81735","23.2816","24.0753","24.43743","24.78084","25.00352","25.15469","25.58523","25.64088","26.36246","27.00481","27.91073","29.51505","29.68459","31.49957","32.65396","35.35955","38.31347","39.70084","65.56422","66.97922","70.68857","75.64778","80.90665","","","","","","","","","","","","","","","","","","118.61086","120.96571","113.14216","","",
"Austria","AUT","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","12.19837","13.66956","15.1084","15.99359","16.67404","18.54498","19.28278","19.72423","20.42885","21.36817","22.30216","22.46463","22.98781","23.9428","25.52486","26.70454","27.81727","29.37026","30.58759","32.53644","34.69429","37.61071","39.76938","42.2646","44.97695","47.49055","49.56702","52.39628","","","","","","","","","63.04729","65.8869","68.11265","75.62378","78.49945","78.93891","79.6554","79.1587","80.71942","83.45495","85.05714","","",
"Azerbaijan","AZE","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","24.03103","","","","","23.87732","","25.20772","24.48164","24.19891","24.75928","25.23917","22.22588","19.355","18.38257","18.08035","17.58492","","","","","","","","","19.78946","19.3646","19.04789","19.05771","19.26004","19.64731","20.43846","21.44043","23.15973","25.4832","25.92642","27.06741","27.7085","",
"Burundi","BDI","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","0.1717","0.17462","0.16412","0.24056","0.24669","0.29472","","","0.44885","0.45203","0.46246","0.50203","","0.5707","0.58989","0.64396","0.62619","0.74076","0.74124","0.70239","0.78731","0.85172","0.95941","","","","","0.94588","1.04488","1.22362","1.19844","1.88244","","2.44521","2.46322","2.4537","2.48913","2.66849","2.82033","3.25461","3.06924","3.77758","4.54625","5.13304","","5.8402","6.05016","","",
